date,adj_close
8/17/1988,260.77
8/18/1988,261.03
8/19/1988,260.24
8/22/1988,256.98
8/23/1988,257.09
8/24/1988,261.13
8/25/1988,259.18
8/26/1988,259.68
8/29/1988,262.33
8/30/1988,262.51
8/31/1988,261.52
9/1/1988,258.35
9/2/1988,264.48
9/5/1988,264.48
9/6/1988,265.59
9/7/1988,265.87
9/8/1988,265.88
9/9/1988,266.84
9/12/1988,266.47
9/13/1988,267.43
9/14/1988,269.31
9/15/1988,268.13
9/16/1988,270.65
9/19/1988,268.82
9/20/1988,269.73
9/21/1988,270.16
9/22/1988,269.18
9/23/1988,269.76
9/26/1988,268.88
9/27/1988,268.26
9/28/1988,269.08
9/29/1988,272.59
9/30/1988,271.91
10/3/1988,271.38
10/4/1988,270.62
10/5/1988,271.86
10/6/1988,272.39
10/7/1988,278.07
10/10/1988,278.24
10/11/1988,277.93
10/12/1988,273.98
10/13/1988,275.22
10/14/1988,275.5
10/17/1988,276.41
10/18/1988,279.38
10/19/1988,276.97
10/20/1988,282.88
10/21/1988,283.66
10/24/1988,282.28
10/25/1988,282.38
10/26/1988,281.38
10/27/1988,277.28
